	 time (data) (sorted)
   0 ns (x x x x) (x x x x)
2420 ns (3 3 0 1) (3 3 1 0)
2430 ns (3 3 0 2) (3 3 2 0)
2440 ns (3 3 0 3) (3 3 3 0)
2450 ns (3 3 1 0) (3 3 1 0)
2460 ns (3 3 1 1) (3 3 1 1)
2470 ns (3 3 1 2) (3 3 2 1)
2480 ns (3 3 1 3) (3 3 3 1)
2490 ns (3 3 2 0) (3 3 2 0)
2500 ns (3 3 2 1) (3 3 2 1)
2510 ns (3 3 2 2) (3 3 2 2)
2520 ns (3 3 2 3) (3 3 3 2)
2530 ns (3 3 3 0) (3 3 3 0)
2540 ns (3 3 3 1) (3 3 3 1)
2550 ns (3 3 3 2) (3 3 3 2)
